
avgpt	v2	v2 err stat.	v2 tight	v2 loose	3<|z|<15	|z|<3
0.3991	0.0446	0.0003	0.0448	0.0452	0.0446	0.0447	
0.7063	0.0838	0.0003	0.0845	0.0835	0.0841	0.0833	
1.2056	0.1273	0.0005	0.1275	0.1260	0.1280	0.1260	
1.7081	0.1503	0.0008	0.1507	0.1488	0.1500	0.1509	
2.2110	0.1587	0.0014	0.1594	0.1590	0.1606	0.1547	
2.7140	0.1580	0.0022	0.1565	0.1581	0.1594	0.1549	
3.3771	0.1490	0.0028	0.1500	0.1478	0.1483	0.1508	
4.4008	0.1220	0.0056	0.1255	0.1221	0.1276	0.1094	
5.4188	0.0950	0.0097	0.0905	0.1049	0.0947	0.0940	

avgpt	v2	v2 err stat.	v2 tight	v2 loose	3<|z|<15	|z|<3
0.3988	0.0444	0.0004	0.0450	0.0446	0.0447	0.0438	
0.7057	0.0821	0.0004	0.0826	0.0814	0.0823	0.0816	
1.2054	0.1229	0.0006	0.1230	0.1219	0.1227	0.1234	
1.7081	0.1446	0.0011	0.1444	0.1438	0.1453	0.1430	
2.2111	0.1510	0.0017	0.1504	0.1508	0.1517	0.1495	
2.7142	0.1531	0.0028	0.1499	0.1549	0.1519	0.1557	
3.3784	0.1456	0.0035	0.1432	0.1440	0.1475	0.1412	
4.4018	0.1136	0.0069	0.1137	0.1118	0.1169	0.1065	
5.4193	0.1088	0.0120	0.1201	0.1211	0.1007	0.1263	

avgpt	v2	v2 err stat.	v2 tight	v2 loose	3<|z|<15	|z|<3
0.3985	0.0424	0.0006	0.0421	0.0424	0.0426	0.0417	
0.7051	0.0797	0.0005	0.0799	0.0793	0.0800	0.0790	
1.2050	0.1196	0.0009	0.1205	0.1193	0.1196	0.1198	
1.7079	0.1440	0.0015	0.1425	0.1416	0.1459	0.1403	
2.2113	0.1487	0.0025	0.1491	0.1489	0.1494	0.1467	
2.7144	0.1403	0.0040	0.1469	0.1418	0.1467	0.1276	
3.3790	0.1382	0.0050	0.1395	0.1453	0.1358	0.1433	
4.4010	0.1143	0.0098	0.1210	0.1222	0.1008	0.1438	
5.4197	0.1057	0.0171	0.1083	0.1049	0.0995	0.1113	

avgpt	v2	v2 err stat.	v2 tight	v2 loose	3<|z|<15	|z|<3
0.3982	0.0419	0.0009	0.0407	0.0414	0.0427	0.0398	
0.7045	0.0762	0.0008	0.0769	0.0754	0.0758	0.0768	
1.2047	0.1167	0.0013	0.1179	0.1154	0.1174	0.1159	
1.7079	0.1394	0.0023	0.1419	0.1412	0.1383	0.1426	
2.2111	0.1390	0.0037	0.1427	0.1352	0.1365	0.1459	
2.7146	0.1450	0.0059	0.1398	0.1386	0.1473	0.1439	
3.3792	0.1386	0.0073	0.1441	0.1322	0.1326	0.1455	
4.4022	0.1114	0.0144	0.1002	0.1207	0.1032	0.1235	
5.4218	0.1138	0.0252	0.1103	0.1226	0.1219	0.0850	
