0.25 -nan -nan 
0.382941 0.00187121 0.000126815 
0.548262 0.00258871 0.000115615 
0.745058 0.00368089 0.000143318 
0.936893 0.00506607 0.00018557 
1.13986 0.00563958 0.000237109 
1.29977 0.00698416 0.000297072 
1.4772 0.00904348 0.000369775 
1.69952 0.00892684 0.000459614 
1.87701 0.00948504 0.000571949 
2.13858 0.0109989 0.000704047 
2.33745 0.0119592 0.000869708 
2.49072 0.0114388 0.00106669 
2.64655 0.0133427 0.00129412 
2.87925 0.0127121 0.00156502 
3.14825 0.0103179 0.00188876 
3.34088 0.0176267 0.00226742 
3.48839 0.0154841 0.00269238 
3.6409 0.0163087 0.0031606 
3.89674 0.0178525 0.00372231 
