0.25 -nan -nan 
0.383485 0.00273952 0.000124859 
0.548938 0.00395798 0.000113877 
0.741423 0.00564208 0.000141186 
0.939487 0.00728893 0.000182817 
1.14058 0.00817233 0.000233681 
1.29815 0.0103236 0.000292972 
1.48048 0.0126216 0.000364712 
1.69628 0.0138547 0.000453598 
1.87629 0.0136948 0.000564248 
2.13726 0.0151497 0.000694488 
2.33919 0.0166693 0.00085757 
2.49308 0.0162736 0.00105233 
2.63969 0.0179612 0.00127745 
2.89094 0.0179844 0.00154372 
3.13886 0.0187922 0.00186548 
3.34045 0.0251835 0.00223524 
3.49886 0.0239604 0.00265765 
3.63953 0.0286541 0.00311751 
3.8729 0.0246812 0.00366358 
