frac = 0.951219	sigma = 0.516813
ipmt number = 9	time difference = -1.92918	nbbau = 41
ipmt number = 16	time difference = -2.49681	nbbau = 41
frac = 0.955556	sigma = 0.983403
ipmt number = 5	time difference = -1.36555	nbbau = 45
ipmt number = 27	time difference = -6.29387	nbbau = 45
frac = 0.956522	sigma = 0.705894
ipmt number = 7	time difference = 0.767883	nbbau = 46
ipmt number = 36	time difference = -4.6271	nbbau = 46
frac = 0.934783	sigma = 0.645819
ipmt number = 0	time difference = 1.29153	nbbau = 46
ipmt number = 37	time difference = -0.859496	nbbau = 46
ipmt number = 45	time difference = -4.00395	nbbau = 46
frac = 0.978723	sigma = 0.525413
ipmt number = 3	time difference = -3.52876	nbbau = 47
frac = 0.956522	sigma = 0.552636
ipmt number = 16	time difference = 2.65926	nbbau = 46
ipmt number = 45	time difference = -2.58466	nbbau = 46
frac = 0.979592	sigma = 0.508633
ipmt number = 12	time difference = -3.40658	nbbau = 49
frac = 0.923077	sigma = 0.552763
ipmt number = 13	time difference = -2.98884	nbbau = 39
ipmt number = 16	time difference = 0.942729	nbbau = 39
ipmt number = 17	time difference = -1.15527	nbbau = 39
frac = 0.948718	sigma = 0.531337
ipmt number = 6	time difference = -1.93653	nbbau = 39
ipmt number = 18	time difference = -2.49993	nbbau = 39
frac = 0.975	sigma = 0.522364
ipmt number = 5	time difference = -3.20832	nbbau = 40
frac = 0.948718	sigma = 1.14394
ipmt number = 16	time difference = -2.66269	nbbau = 39
ipmt number = 18	time difference = -6.42265	nbbau = 39
frac = 0.952381	sigma = 0.707204
ipmt number = 6	time difference = 0.674613	nbbau = 42
ipmt number = 31	time difference = -4.423	nbbau = 42
frac = 0.979167	sigma = 0.588936
ipmt number = 11	time difference = -3.92523	nbbau = 48
frac = 0.976744	sigma = 0.805169
ipmt number = 35	time difference = 5.20868	nbbau = 43
frac = 0.952381	sigma = 0.656219
ipmt number = 22	time difference = -4.04238	nbbau = 42
ipmt number = 39	time difference = 0.8435	nbbau = 42
frac = 0.953488	sigma = 0.684836
ipmt number = 20	time difference = 4.34846	nbbau = 43
ipmt number = 37	time difference = -0.789207	nbbau = 43
frac = 0.975	sigma = 0.96455
ipmt number = 21	time difference = -5.97558	nbbau = 40
frac = 0.947368	sigma = 0.708145
ipmt number = 34	time difference = 0.689687	nbbau = 38
ipmt number = 37	time difference = -4.24466	nbbau = 38
frac = 0.96	sigma = 0.813693
ipmt number = 8	time difference = -2.66476	nbbau = 50
ipmt number = 9	time difference = -4.93012	nbbau = 50
frac = 0.94	sigma = 0.680997
ipmt number = 6	time difference = -4.32391	nbbau = 50
ipmt number = 10	time difference = -0.991299	nbbau = 50
ipmt number = 22	time difference = -1.36799	nbbau = 50
